target,model,MAE,RMSE,MAE_peak,bias,R2,MAPE_%,sMAPE_%,n,skipped_issue_times,skill_vs_persistence,selected,eligible_as_default,MAE_daylight
load_mw,persistence,0.055818951086956524,0.08501839914499945,0.05574948913043478,0.0015733442028985501,0.5769313141225338,7.689794942539672,7.732749122539673,2208,0.0,0.0,False,True,
load_mw,weekly persistence,0.037715592844202894,0.06472523006018403,0.038142255434782606,0.008376172554347826,0.7547933518793704,5.461814399883829,5.205593951937667,2208,0.0,0.3243227952197032,False,True,
load_mw,ridge,0.032561089788072616,0.045252272220305874,0.0334208034702951,-0.0004565005747083668,0.8801423337711669,4.641156762343394,4.563751386847216,2208,0.0,0.41666603986613937,False,True,
load_mw,gradient boosting,0.022820969458889985,0.03817669868239408,0.025255409851052183,0.005050697364222839,0.914693568405422,3.2915780415524294,3.1751163455803346,2208,0.0,0.591160904773385,True,True,
load_mw,xgboost,0.021017782926375454,0.03451226298712572,0.02305391013184838,0.004229187267708606,0.9302840885713425,3.028568903082701,2.9372429529769684,2208,0.0,0.6234651042862971,False,False,
load_mw,published (TSO),0.02371946000924642,0.029138697547119143,0.02648118611111111,-0.006043766990291261,0.9503195978043635,3.225113005784134,3.226055678366259,2163,0.0,0.5750643903663561,False,False,
pv_mw,persistence,0.015871757699275364,0.0374214604162294,0.001325320652173913,0.0006389488224637681,0.8188197975126216,,,2208,0.0,0.0,False,True,0.039839046643913543
pv_mw,weekly persistence,0.02193276313405797,0.051071866373429996,0.0020704483695652177,0.004068525815217391,0.6625318940125509,,,2208,0.0,-0.3818736115823722,False,True,0.055007336746302614
pv_mw,ridge,0.015078525361839129,0.03303693636665404,0.0037380857056027545,0.002928145175967469,0.8587889085897739,,,2208,0.0,0.04997759873012997,True,True,0.03601509033418024
pv_mw,gradient boosting,0.01729447504754471,0.03993648016444578,0.0014305963014057646,-0.000978217250579305,0.7936479220163176,,,2208,0.0,-0.08963829811579749,False,True,0.04279006606183628
pv_mw,xgboost,0.01926693447577927,0.044829951016278353,0.0014713442730355764,0.0004956242562592651,0.7399805683560431,,,2208,0.0,-0.2139130927294155,False,False,0.048064615758914686
price_eur_mwh,persistence,8.986186594202898,13.394216775361011,8.571711956521739,-0.09484601449275361,0.12954270397317635,,,2208,0.0,0.0,False,True,
price_eur_mwh,weekly persistence,10.11538043478261,14.53802978273769,9.243858695652175,0.0969021739130437,-0.025472294715084054,,,2208,0.0,-0.12565884635738245,False,True,
price_eur_mwh,ridge,7.121292198397507,10.277685997840923,7.730982756813754,1.7919349546913068,0.4874886199006363,,,2208,0.0,0.20752900869078972,True,True,
price_eur_mwh,gradient boosting,7.443403963709632,10.99650277613548,7.83166026911617,-1.8511232585400894,0.4132920143057137,,,2208,0.0,0.17168379649366894,False,True,
price_eur_mwh,xgboost,7.409408104360386,11.275399911102715,7.783624029470527,-1.548088221864815,0.3831540304212705,,,2208,0.0,0.17546692062456304,False,False,
